Date,TSLA
2015-01-01,14.063332557678223
2015-01-08,12.845999717712402
2015-01-15,13.104666709899902
2015-01-22,13.291333198547363
2015-01-29,14.569999694824219
2015-02-05,14.186667442321777
2015-02-12,13.630666732788086
2015-02-19,13.583999633789062
2015-02-26,13.496000289916992
2015-03-05,12.916000366210938
2015-03-12,13.380666732788086
2015-03-19,12.953332901000977
2015-03-26,12.505999565124512
2015-04-02,13.844667434692383
2015-04-09,13.85533332824707
2015-04-16,14.629332542419434
2015-04-23,15.49666690826416
2015-04-30,15.362000465393066
2015-05-07,16.211999893188477
2015-05-14,16.290000915527344
2015-05-21,16.495332717895508
2015-05-28,16.599332809448242
2015-06-04,16.713333129882812
2015-06-11,17.360666275024414
2015-06-18,17.67799949645996
2015-06-25,17.94333267211914
2015-07-02,16.997333526611328
2015-07-09,17.542667388916016
2015-07-16,17.857999801635742
2015-07-23,17.58799934387207
2015-07-30,18.0086669921875
2015-08-06,15.878000259399414
2015-08-13,17.016666412353516
2015-08-20,14.989333152770996
2015-08-27,16.512666702270508
2015-09-03,16.5939998626709
2015-09-10,17.483333587646484
2015-09-17,17.40399932861328
2015-09-24,16.559999465942383
2015-10-01,15.46399974822998
2015-10-08,14.458666801452637
2015-10-15,14.005999565124512
2015-10-22,14.197333335876465
2015-10-29,15.442000389099121
2015-11-05,14.60533332824707
2015-11-12,14.73799991607666
2015-11-19,15.309332847595215
2015-11-26,15.465999603271484
2015-12-03,14.968000411987305
2015-12-10,15.633999824523926
2015-12-17,15.313332557678223
2015-12-24,15.87266731262207
2015-12-31,14.602666854858398
2016-01-07,13.354000091552734
2016-01-14,13.24666690826416
2016-01-21,12.538000106811523
2016-01-28,11.565333366394043
2016-02-04,9.57800006866455
2016-02-11,11.245332717895508
2016-02-18,11.933333396911621
2016-02-25,12.555999755859375
2016-03-03,13.914667129516602
2016-03-10,14.795332908630371
2016-03-17,14.838666915893555
2016-03-24,15.12600040435791
2016-03-31,17.69466781616211
2016-04-07,16.968666076660156
2016-04-14,16.6646671295166
2016-04-21,16.764667510986328
2016-04-28,14.837332725524902
2016-05-05,13.93066692352295
2016-05-12,14.07800006866455
2016-05-19,14.638667106628418
2016-05-26,14.637332916259766
2016-06-02,15.701333045959473
2016-06-09,14.513333320617676
2016-06-16,13.11066722869873
2016-06-23,14.012666702270508
2016-06-30,14.295999526977539
2016-07-07,14.835332870483398
2016-07-14,15.223999977111816
2016-07-21,15.232666969299316
2016-07-28,15.052666664123535
2016-08-04,15.043333053588867
2016-08-11,14.88266658782959
2016-08-18,14.841333389282227
2016-08-25,14.133999824523926
2016-09-01,13.447333335876465
2016-09-08,13.093999862670898
2016-09-15,13.6813325881958
2016-09-22,13.751333236694336
2016-09-29,13.897333145141602
2016-10-06,13.434000015258789
2016-10-13,13.570667266845703
2016-10-20,13.482666969299316
2016-10-27,12.534667015075684
2016-11-03,12.670666694641113
2016-11-10,12.26200008392334
2016-11-17,12.87600040435791
2016-11-24,12.626667022705078
2016-12-01,12.876667022705078
2016-12-08,13.246000289916992
2016-12-15,13.846667289733887
2016-12-22,14.649333000183105
2016-12-29,15.13266658782959
2017-01-05,15.315333366394043
2017-01-12,15.890666961669922
2017-01-19,16.96466636657715
2017-01-26,16.615999221801758
2017-02-02,17.472000122070312
2017-02-09,18.650667190551758
2017-02-16,18.233999252319336
2017-02-23,16.667999267578125
2017-03-02,16.45800018310547
2017-03-09,17.048667907714844
2017-03-16,17.000667572021484
2017-03-23,18.492000579833984
2017-03-30,19.666667938232422
2017-04-06,19.78933334350586
2017-04-13,20.368000030517578
2017-04-20,20.67799949645996
2017-04-27,20.73466682434082
2017-05-04,21.681333541870117
2017-05-11,20.407333374023438
2017-05-18,20.681333541870117
2017-05-25,22.733999252319336
2017-06-01,23.976667404174805
2017-06-08,25.37733268737793
2017-06-15,25.093332290649414
2017-06-22,24.749332427978516
2017-06-29,21.805999755859375
2017-07-06,21.968000411987305
2017-07-13,21.68400001525879
2017-07-20,22.92333221435547
2017-07-27,21.72599983215332
2017-08-03,24.235332489013672
2017-08-10,24.194000244140625
2017-08-17,23.51799964904785
2017-08-24,23.545333862304688
2017-08-31,22.968666076660156
2017-09-07,24.415332794189453
2017-09-14,24.92733383178711
2017-09-21,22.731332778930664
2017-09-28,23.667333602905273
2017-10-05,23.639999389648438
2017-10-12,23.976667404174805
2017-10-19,21.722667694091797
2017-10-26,21.405332565307617
2017-11-02,20.292667388916016
2017-11-09,20.753332138061523
2017-11-16,20.84000015258789
2017-11-23,20.502666473388672
2017-11-30,20.884000778198242
2017-12-07,22.601999282836914
2017-12-14,21.93199920654297
2017-12-21,20.775999069213867
2017-12-28,21.149999618530273
2018-01-04,22.31999969482422
2018-01-11,23.143999099731445
2018-01-18,23.05933380126953
2018-01-25,23.62066650390625
2018-02-01,23.0
2018-02-08,21.487333297729492
2018-02-15,22.219999313354492
2018-02-22,22.87066650390625
2018-03-01,22.15333366394043
2018-03-08,21.775333404541016
2018-03-15,21.101999282836914
2018-03-22,17.185333251953125
2018-03-29,19.12933349609375
2018-04-05,20.062000274658203
2018-04-12,19.55666732788086
2018-04-19,18.71266746520996
2018-04-26,20.07666778564453
2018-05-03,20.456666946411133
2018-05-10,19.09866714477539
2018-05-17,18.60466766357422
2018-05-24,19.447999954223633
2018-05-31,21.299999237060547
2018-06-07,22.985332489013672
2018-06-14,24.148000717163086
2018-06-21,22.96666717529297
2018-06-28,20.724000930786133
2018-07-05,21.263999938964844
2018-07-12,21.59000015258789
2018-07-19,20.582666397094727
