,ds,y,yhat,yhat_lower,yhat_upper
0,2024-01-02,248.4199981689453,195.6715028207156,164.54296057967773,226.82347669366058
1,2024-01-03,238.4499969482422,195.9790911502023,166.62693940091464,224.11129002838172
2,2024-01-04,237.92999267578125,195.73077194714978,163.75279227559315,224.13259746784857
3,2024-01-05,237.4900054931641,195.6765497863227,165.81499438704554,226.62008826412946
4,2024-01-08,240.4499969482422,196.79207060890087,167.59601028598507,228.7637345391258
5,2024-01-09,234.9600067138672,196.36078517279336,164.60593632637784,226.2326043088094
6,2024-01-10,233.94000244140625,196.53553571772548,166.57995596867744,224.88342594687927
7,2024-01-11,227.22000122070312,196.13458552278493,166.88071066979185,228.07341294532455
8,2024-01-12,218.88999938964844,195.91535491323668,168.37696804844043,224.35610652738035
9,2024-01-16,219.91000366210935,195.9744735763909,165.3071555228414,225.1090421286752
10,2024-01-17,215.5500030517578,196.04039456928885,164.57538014890494,224.48979974290071
11,2024-01-18,211.8800048828125,195.56329324118568,163.15988691550194,222.7731005156475
12,2024-01-19,212.19000244140625,195.30589029351324,165.11391703318654,224.55998012160487
13,2024-01-22,208.8000030517578,196.07887349959853,166.30289302074905,225.7440851506541
14,2024-01-23,209.13999938964844,195.65296153333168,165.55560590959215,227.58757620235252
15,2024-01-24,207.8300018310547,195.90336867234873,164.37209038072868,226.5635982105073
16,2024-01-25,182.6300048828125,195.65126173623506,162.1056241372376,224.88770012992194
17,2024-01-26,183.25,195.6544565915683,165.77539553336993,225.11407474128353
18,2024-01-29,190.92999267578125,197.3540755992031,167.81405447295396,228.8841994632676
19,2024-01-30,191.58999633789065,197.2570661219041,168.17923282451181,228.66568620672913
20,2024-01-31,187.2899932861328,197.83037538374134,167.4519667564104,228.1372832218862
21,2024-02-01,188.8600006103516,197.88497517289642,168.77335111058636,229.51492168684877
22,2024-02-02,187.91000366210935,198.1684887084773,168.9726195999041,226.52023677760687
23,2024-02-05,181.05999755859372,200.4549362008314,171.60991891325205,229.83216420373347
24,2024-02-06,185.1000061035156,200.4408959353809,169.92892281319936,232.71753390271823
25,2024-02-07,187.5800018310547,201.02978660126158,168.79355378159346,230.1474830666529
26,2024-02-08,189.55999755859372,201.02814000082756,169.56795575378945,230.3446302991751
27,2024-02-09,193.57000732421875,201.18084796798487,168.5695659840228,230.85035127593753
28,2024-02-12,188.1300048828125,202.62793926767552,171.89990116398982,233.48758318053865
29,2024-02-13,184.0200042724609,202.1947613351305,172.30310423655968,233.05434733139506
30,2024-02-14,188.7100067138672,202.3042843625509,172.4427572173226,233.23224015046276
31,2024-02-15,200.4499969482422,201.7712804001783,169.37862004904252,233.2894656708095
32,2024-02-16,199.9499969482422,201.3503706555475,170.20561851903463,232.69079715942897
33,2024-02-20,193.75999450683597,199.8807778914615,168.206487660877,230.55034102956384
34,2024-02-21,194.7700042724609,199.38639371685974,167.03007136272967,230.79824234825813
35,2024-02-22,197.41000366210935,198.28257055493899,166.8405277531386,228.28941969355893
36,2024-02-23,191.97000122070312,197.33648903337297,167.38475911426693,229.52271440388606
37,2024-02-26,199.3999938964844,195.73365194731483,165.33777247383696,227.75715642818344
38,2024-02-27,199.72999572753903,194.43863503060166,162.10462314549164,225.80202813183655
39,2024-02-28,202.0399932861328,193.79684386249136,162.61703797417334,227.0816760762565
40,2024-02-29,201.8800048828125,192.63997053532776,163.1855991777873,223.78793120474333
41,2024-03-01,202.63999938964844,191.73698359353182,158.7861405152045,224.2953561316741
42,2024-03-04,188.13999938964844,190.8269946421989,158.8160574182435,221.92156675737274
43,2024-03-05,180.7400054931641,189.93625284972663,156.11870215126984,220.38819848547982
44,2024-03-06,176.5399932861328,189.77347012169028,159.01700016765923,223.59145426222298
45,2024-03-07,178.64999389648438,189.1607392611772,158.05596305643556,221.71539776806293
46,2024-03-08,175.33999633789062,188.85611454470103,155.84639978796102,221.23459417417675
47,2024-03-11,177.77000427246094,189.94341301806014,158.16048661738415,224.69510881165277
48,2024-03-12,177.5399932861328,189.74222856855,155.98957658960094,222.5575878202516
49,2024-03-13,169.47999572753906,190.25890102491962,154.916084219117,226.88581678493588
50,2024-03-14,162.5,190.3028515974694,159.4711356298447,223.71913107649777
51,2024-03-15,163.57000732421875,190.6202231148081,158.39780761284675,225.07964904981606
52,2024-03-18,173.8000030517578,193.26297416793895,159.4284715267428,224.5439019353023
53,2024-03-19,171.32000732421875,193.4496315304602,160.50966919490696,228.91717518849296
54,2024-03-20,175.66000366210938,194.2793029352516,159.52427853500916,229.42054585580493
55,2024-03-21,172.82000732421875,194.5583214124813,162.34215888902517,229.01220038967477
56,2024-03-22,170.8300018310547,195.03153690161182,158.7500733897235,229.02046879000522
57,2024-03-25,172.6300048828125,197.67953098583962,163.6095825512225,232.8296183772718
58,2024-03-26,177.6699981689453,197.72613290844993,164.93548363037468,232.32332871833475
59,2024-03-27,179.8300018310547,198.35442535308994,162.01304340005038,231.37484266807706
60,2024-03-28,175.7899932861328,198.37813379604714,165.71673076071818,234.0688365215684
61,2024-04-01,175.22000122070312,200.10853349737377,165.94649271767412,234.60409333409348
62,2024-04-02,166.6300048828125,199.75941021290208,165.17850060957358,235.6665101206098
63,2024-04-03,168.3800048828125,199.98990137527127,164.31395453578997,232.74501894171752
64,2024-04-04,171.11000061035156,199.62135244425633,163.39828988413228,235.14715417955097
65,2024-04-05,164.89999389648438,199.41354923615535,162.15390148325503,233.93815257074266
66,2024-04-08,172.97999572753906,199.9578023586099,168.1695268713882,235.6806323408184
67,2024-04-09,176.8800048828125,199.32408796262274,164.3918302231198,234.72005359304083
68,2024-04-10,171.75999450683594,199.29936606012987,165.47258121848893,236.9220007172837
69,2024-04-11,174.60000610351562,198.70478252881915,163.05472190174206,237.12512269350216
70,2024-04-12,171.0500030517578,198.2988133591454,159.0080420215809,235.59018674954362
71,2024-04-15,161.47999572753906,198.38857425356707,156.96819422217217,238.94672316859246
72,2024-04-16,157.11000061035156,197.63735607630113,161.4064980757195,237.05389256987513
73,2024-04-17,155.4499969482422,197.50462628212992,162.6030677297612,234.46846260036287
74,2024-04-18,149.92999267578125,196.80674892514125,157.33696584438047,236.0740071037402
75,2024-04-19,147.0500030517578,196.29751513593598,158.27954244878362,232.98839018435635
76,2024-04-22,142.0500030517578,196.03630034199713,158.48855449880213,234.51496749782777
77,2024-04-23,144.67999267578125,195.14360367763757,157.46719489372484,232.79765889129484
78,2024-04-24,162.1300048828125,194.8537771786163,155.55073758094431,232.63430081018882
79,2024-04-25,170.17999267578125,193.982578371162,153.2989290562041,234.50913292457773
80,2024-04-26,168.2899932861328,193.28422065677844,156.81521217081843,232.69207479737094
81,2024-04-29,194.0500030517578,192.38049548540508,152.58650135188665,234.03571811507027
82,2024-04-30,183.27999877929688,191.2599720991452,151.87109600126817,230.4946241969399
83,2024-05-01,179.99000549316406,190.74328633244122,150.6896631013002,232.6755597825263
84,2024-05-02,180.00999450683594,189.65186262890248,150.44788549862668,228.33751830504437
