Date,Actual TSLA,Predicted
2024-03-28,175.7899932861328,187.55301
2024-04-01,175.22000122070312,187.50494
2024-04-02,166.6300048828125,187.50603
2024-04-03,168.3800048828125,187.3089
2024-04-04,171.11000061035156,187.01239
2024-04-05,164.89999389648438,186.7207
2024-04-08,172.97999572753906,186.27719
2024-04-09,176.88000488281253,185.9076
2024-04-10,171.7599945068359,185.73775
2024-04-11,174.60000610351562,185.59605
2024-04-12,171.05000305175784,185.56839
2024-04-15,161.47999572753906,185.51283
2024-04-16,157.11000061035156,185.13658
2024-04-17,155.4499969482422,184.39375
2024-04-18,149.92999267578125,183.3484
2024-04-19,147.0500030517578,181.9416
2024-04-22,142.0500030517578,180.22556
2024-04-23,144.67999267578125,178.18372
2024-04-24,162.1300048828125,176.05223
2024-04-25,170.17999267578128,174.4683
2024-04-26,168.2899932861328,173.60161
2024-04-29,194.0500030517578,173.24458
2024-04-30,183.27999877929688,174.07347
2024-05-01,179.99000549316403,175.42468
2024-05-02,180.00999450683594,177.0069
2024-05-03,181.19000244140625,178.69324
2024-05-06,184.75999450683597,180.42549
2024-05-07,177.80999755859375,182.23878
2024-05-08,174.72000122070312,183.83199
2024-05-09,171.97000122070312,185.10909
2024-05-10,168.47000122070312,186.02129
2024-05-13,171.88999938964844,186.52446
2024-05-14,177.5500030517578,186.8187
2024-05-15,173.99000549316406,187.13248
2024-05-16,174.83999633789062,187.34814
2024-05-17,177.4600067138672,187.51746
2024-05-20,174.9499969482422,187.73311
2024-05-21,186.60000610351557,187.9009
2024-05-22,180.11000061035156,188.37685
2024-05-23,173.74000549316406,188.80013
2024-05-24,179.24000549316406,189.05833
2024-05-28,176.75,189.3288
2024-05-29,176.19000244140625,189.53085
2024-05-30,178.7899932861328,189.66066
2024-05-31,178.0800018310547,189.8021
2024-06-03,176.2899932861328,189.92944
2024-06-04,174.77000427246094,189.9958
2024-06-05,175.0,189.97423
2024-06-06,177.94000244140625,189.89418
2024-06-07,177.47999572753906,189.85231
2024-06-10,173.78999328613284,189.82922
2024-06-11,170.66000366210938,189.72385
2024-06-12,177.2899932861328,189.47723
2024-06-13,182.47000122070312,189.31015
2024-06-14,178.00999450683594,189.34659
2024-06-17,187.44000244140625,189.41714
2024-06-18,184.8600006103516,189.76375
2024-06-20,181.57000732421875,190.23445
2024-06-21,183.00999450683597,190.69351
2024-06-24,182.5800018310547,191.16383
2024-06-25,187.35000610351562,191.61198
2024-06-26,196.36999511718747,192.15504
2024-06-27,197.41999816894534,192.99281
2024-06-28,197.88000488281253,194.05197
2024-07-01,209.8600006103516,195.25484
2024-07-02,231.25999450683597,196.84703
2024-07-03,246.38999938964847,199.25508
2024-07-05,251.5200042724609,202.60616
2024-07-08,252.94000244140625,206.69264
2024-07-09,262.3299865722656,211.2281
2024-07-10,263.260009765625,216.19911
2024-07-11,241.02999877929688,221.34317
2024-07-12,248.22999572753903,225.81392
2024-07-15,252.63999938964844,229.83487
2024-07-16,256.5599975585937,233.49875
2024-07-17,248.5,236.88673
2024-07-18,249.229995727539,239.73416
2024-07-19,239.1999969482422,242.11969
2024-07-22,251.50999450683597,243.80388
2024-07-23,246.3800048828125,245.27852
2024-07-24,215.9900054931641,246.40123
2024-07-25,220.24999999999997,246.37709
2024-07-26,219.8000030517578,245.65942
2024-07-29,232.1000061035156,244.43704
2024-07-30,222.6199951171875,243.24422
2024-07-31,232.07000732421875,241.84834
2024-08-01,216.86000061035162,240.63945
2024-08-02,207.6699981689453,239.17746
2024-08-05,198.8800048828125,237.33563
2024-08-06,200.63999938964844,235.03175
2024-08-07,191.75999450683597,232.51764
2024-08-08,198.83999633789065,229.68254
2024-08-09,200.0,226.91339
2024-08-12,197.4900054931641,224.31578
2024-08-13,207.8300018310547,221.86678
2024-08-14,201.3800048828125,219.90002
2024-08-15,214.13999938964844,218.17055
2024-08-16,216.1199951171875,217.02988
2024-08-19,222.7200012207031,216.40623
2024-08-20,221.1000061035156,216.36458
2024-08-21,223.2700042724609,216.70087
2024-08-22,210.66000366210932,217.35922
2024-08-23,220.32000732421878,217.87285
2024-08-26,213.2100067138672,218.52539
2024-08-27,209.2100067138672,219.04716
2024-08-28,205.75,219.34348
2024-08-29,206.27999877929688,219.36426
2024-08-30,214.1100006103516,219.1946
2024-09-03,210.6000061035156,219.10733
2024-09-04,219.41000366210938,218.98741
2024-09-05,230.1699981689453,219.09894
2024-09-06,210.72999572753903,219.67603
2024-09-09,216.2700042724609,220.03851
2024-09-10,226.16999816894528,220.39354
2024-09-11,228.1300048828125,220.99683
2024-09-12,229.80999755859372,221.81378
2024-09-13,230.2899932861328,222.81036
2024-09-16,226.77999877929688,223.91896
2024-09-17,227.8699951171875,224.97342
2024-09-18,227.1999969482422,225.98196
2024-09-19,243.91999816894534,226.90028
2024-09-20,238.25,228.18924
2024-09-23,250.00000000000003,229.54335
2024-09-24,254.2700042724609,231.23892
2024-09-25,257.0199890136719,233.24426
2024-09-26,254.22000122070312,235.48969
2024-09-27,260.4599914550781,237.75641
2024-09-30,261.6300048828125,240.13914
2024-10-01,258.0199890136719,242.55316
2024-10-02,249.0200042724609,244.80484
2024-10-03,240.66000366210938,246.60536
2024-10-04,250.0800018310547,247.7773
2024-10-07,240.8300018310547,248.71852
2024-10-08,244.5,249.18726
2024-10-09,241.0500030517578,249.41286
2024-10-10,238.7700042724609,249.3548
2024-10-11,217.8000030517578,249.0351
2024-10-14,219.16000366210932,247.94225
2024-10-15,219.57000732421875,246.37733
2024-10-16,221.3300018310547,244.52718
