,ds,y,yhat,yhat_lower,yhat_upper
0,2024-01-02,4742.830078125,4456.716133655209,4295.096395250828,4617.841854446829
1,2024-01-03,4704.81005859375,4459.241438146778,4303.430067838513,4606.991497567298
2,2024-01-04,4688.68017578125,4461.313614943601,4301.645544089262,4609.006714398915
3,2024-01-05,4697.240234375,4464.22660661517,4312.727833557855,4620.008653804625
4,2024-01-08,4763.5400390625,4469.659617334959,4314.605783719951,4624.250713662447
5,2024-01-09,4756.5,4471.016327842012,4316.429702910298,4635.094469964807
6,2024-01-10,4783.4501953125,4472.527763590212,4329.031262977008,4633.43326267148
7,2024-01-11,4780.240234375,4473.6780734020185,4315.028640225723,4630.714434369834
8,2024-01-12,4783.830078125,4475.784451183572,4327.419693830571,4647.763611200571
9,2024-01-16,4765.97998046875,4480.868509515964,4322.796643079189,4633.866661210572
10,2024-01-17,4739.2099609375,4482.39541652952,4330.529091185701,4635.035878159912
11,2024-01-18,4780.93994140625,4483.748684247196,4321.4703475131655,4650.498509306916
12,2024-01-19,4839.81005859375,4486.243386001759,4327.736469022848,4649.871967971256
13,2024-01-22,4850.43017578125,4492.332105608576,4330.182456809097,4656.528372644378
14,2024-01-23,4864.60009765625,4494.542957933296,4341.38116494038,4643.613493229649
15,2024-01-24,4868.5498046875,4497.206953073046,4337.705116523613,4659.522672809566
16,2024-01-25,4894.16015625,4499.785689526672,4347.775318255248,4658.228407858436
17,2024-01-26,4890.97021484375,4503.56703037222,4345.326234060074,4667.623212170144
18,2024-01-29,4927.93017578125,4513.585968092311,4344.963694129103,4695.206316794806
19,2024-01-30,4924.97021484375,4517.027426495873,4347.302367683356,4681.161667093131
20,2024-01-31,4845.64990234375,4520.831007923791,4356.355380853164,4695.091097405378
21,2024-02-01,4906.18994140625,4524.428917246726,4357.640849381563,4691.9343708331835
22,2024-02-02,4958.60986328125,4529.081354566455,4362.609242419958,4695.129880776617
23,2024-02-05,4942.81005859375,4540.585213634363,4364.4728207584,4696.622424206235
24,2024-02-06,4954.22998046875,4544.080858589712,4379.201768138039,4715.352998290348
25,2024-02-07,4995.06005859375,4547.6947799101,4379.199353123405,4720.0694015488725
26,2024-02-08,4997.91015625,4550.850970703016,4384.09257844267,4728.2905972375
27,2024-02-09,5026.60986328125,4554.805537560538,4385.888365827438,4738.323624788206
28,2024-02-12,5021.83984375,4562.700160609753,4396.346000635785,4737.027539712919
29,2024-02-13,4953.169921875,4564.514805577009,4392.220777069181,4753.939888277779
30,2024-02-14,5000.6201171875,4566.231906232392,4390.681660833533,4739.434224570625
31,2024-02-15,5029.72998046875,4567.294504370807,4383.188153095489,4732.942648651445
32,2024-02-16,5005.56982421875,4568.98074413249,4393.484481761614,4743.876545204446
33,2024-02-20,4975.509765625,4568.392568901572,4386.483492632506,4754.556177578943
34,2024-02-21,4981.7998046875,4567.374657468961,4395.887367337847,4739.517952993327
35,2024-02-22,5087.02978515625,4565.699461240771,4399.633661524918,4753.012327502181
36,2024-02-23,5088.7998046875,4564.6762764212,4380.183277835557,4754.376811396949
37,2024-02-26,5069.52978515625,4557.31886559001,4368.43314964533,4745.469038850893
38,2024-02-27,5078.18017578125,4554.133254660952,4370.683791501167,4752.601109027605
39,2024-02-28,5069.759765625,4550.986023842791,4358.5561852050005,4748.27088985081
40,2024-02-29,5096.27001953125,4547.374515528735,4355.731725414305,4744.585763682836
41,2024-03-01,5137.080078125,4544.62880482852,4362.397842692156,4735.39083091027
42,2024-03-04,5130.9501953125,4533.5555621771,4328.866779583791,4721.517205134568
43,2024-03-05,5078.64990234375,4529.657804602311,4326.960161618204,4731.784752446021
44,2024-03-06,5104.759765625,4526.0757607219775,4344.602088214187,4734.0145476168955
45,2024-03-07,5157.35986328125,4522.310853417524,4336.260760926727,4726.477173927547
46,2024-03-08,5123.68994140625,4519.694319524535,4318.725003058653,4723.612391708613
47,2024-03-11,5117.93994140625,4510.672761735044,4313.9136732104525,4722.4702772494375
48,2024-03-12,5175.27001953125,4507.989352676326,4324.701838234979,4726.682842128416
49,2024-03-13,5165.31005859375,4505.8681539559475,4296.1936356160995,4721.315537039925
50,2024-03-14,5150.47998046875,4503.795624278465,4282.803603388025,4711.927180779645
51,2024-03-15,5117.08984375,4503.085732347077,4309.04914327442,4708.33974535007
52,2024-03-18,5149.419921875,4500.865583105012,4296.529875569906,4742.734291187112
53,2024-03-19,5178.509765625,4500.732457242274,4271.399367645921,4735.537648466713
54,2024-03-20,5224.6201171875,4501.260425991111,4286.589549036975,4733.725780325616
55,2024-03-21,5241.52978515625,4501.908347917185,4284.835473489228,4727.414503087808
56,2024-03-22,5234.18017578125,4503.961576283618,4278.269155359019,4723.8882887920145
57,2024-03-25,5218.18994140625,4509.990594669269,4284.668321207817,4731.436803312709
58,2024-03-26,5203.580078125,4512.493581618109,4286.387508833829,4771.785077693612
59,2024-03-27,5248.490234375,4515.551021911856,4277.404363337114,4743.226755095043
60,2024-03-28,5254.35009765625,4518.592677766478,4284.139839219248,4750.860727185712
61,2024-04-01,5243.77001953125,4534.352142171103,4316.378116007118,4772.908326310289
62,2024-04-02,5205.81005859375,4538.180002130436,4300.288546579071,4784.739553220821
63,2024-04-03,5211.490234375,4542.284432947103,4306.572995584826,4794.385823939328
64,2024-04-04,5147.2099609375,4546.079976796516,4317.057854121807,4812.740713913798
65,2024-04-05,5204.33984375,4550.8118876067765,4307.330584542675,4790.859164220014
66,2024-04-08,5202.39013671875,4561.737643974358,4313.497687215139,4834.189215920445
67,2024-04-09,5209.91015625,4564.746666376598,4322.588081931579,4851.5228199748435
68,2024-04-10,5160.64013671875,4567.723144728545,4313.6980195705155,4841.129913119368
69,2024-04-11,5199.06005859375,4570.092886363387,4331.6385048147085,4837.3976239280955
70,2024-04-12,5123.41015625,4573.116480569742,4321.225713508113,4847.48079397975
71,2024-04-15,5061.81982421875,4577.434068792006,4338.348634172376,4847.971284740396
72,2024-04-16,5051.41015625,4577.8346467589345,4332.522841209435,4873.533117376485
73,2024-04-17,5022.2099609375,4578.052176636266,4312.804265929463,4879.246938129621
74,2024-04-18,5011.1201171875,4577.547910167921,4290.775898702973,4864.294730795553
75,2024-04-19,4967.22998046875,4577.6199458386645,4307.060649816267,4892.623103632684
76,2024-04-22,5010.60009765625,4573.012673671622,4293.679827207331,4862.713191603168
77,2024-04-23,5070.5498046875,4570.549315737064,4304.1177909912485,4880.373990765565
78,2024-04-24,5071.6298828125,4568.0248875894495,4291.571609195397,4896.297678568582
79,2024-04-25,5048.419921875,4564.938798001051,4261.79131147238,4904.1383243268965
80,2024-04-26,5099.9599609375,4562.62530488536,4269.166426990902,4872.335182714527
81,2024-04-29,5116.169921875,4552.358848218946,4263.828927525514,4873.350791698947
82,2024-04-30,5035.68994140625,4548.59714058047,4258.746296444831,4868.6719683955525
83,2024-05-01,5018.39013671875,4545.102434975078,4229.331039867762,4874.744744685011
84,2024-05-02,5064.2001953125,4541.3875467545995,4233.911051731323,4882.1376607445345
85,2024-05-03,5127.7900390625,4538.795072856376,4228.980026388582,4890.296547166106
86,2024-05-06,5180.740234375,4529.7950188711775,4213.088647355394,4867.531323908811
87,2024-05-07,5187.7001953125,4527.131554262434,4220.243745358372,4892.244275369821
88,2024-05-08,5187.669921875,4525.047729529891,4193.059585604259,4890.045392484395
89,2024-05-09,5214.080078125,4523.033804645477,4204.301960922723,4901.274758581774
90,2024-05-10,5222.68017578125,4522.40540236333,4174.327850787738,4923.373673250199
91,2024-05-13,5221.419921875,4520.549604137875,4190.024724276894,4879.738525097667
92,2024-05-14,5246.68017578125,4520.560814018268,4170.026539464837,4913.414616789168
93,2024-05-15,5308.14990234375,4521.230744801459,4173.896407025664,4921.774992330463
94,2024-05-16,5297.10009765625,4522.007200683534,4172.562484750985,4917.846556446682
95,2024-05-17,5303.27001953125,4524.163023445284,4155.3572179518105,4965.673679936244
96,2024-05-20,5308.1298828125,4530.204850304673,4141.934490418598,4941.770757652949
97,2024-05-21,5321.41015625,4532.565504603414,4139.580347940745,4967.0911275310755
98,2024-05-22,5307.009765625,4535.383831207922,4154.746890291027,4975.546117640397
99,2024-05-23,5267.83984375,4538.076874860115,4164.739882637128,4983.136251671833
100,2024-05-24,5304.72021484375,4541.890718417671,4141.045447640189,4963.719703966905
101,2024-05-28,5306.0400390625,4553.965582071926,4156.301005768745,4998.043486695472
102,2024-05-29,5266.9501953125,4556.912464213285,4137.127514503913,4997.064123065237
103,2024-05-30,5235.47998046875,4559.416687003021,4160.720577659763,5027.732877438599
104,2024-05-31,5277.509765625,4562.732694045617,4141.869219650243,5027.927075760089
105,2024-06-03,5283.39990234375,4568.8074273342,4151.236522624807,5055.291973891779
106,2024-06-04,5291.33984375,4570.062932065638,4154.4542354989035,5043.90439749667
107,2024-06-05,5354.02978515625,4571.257385504957,4096.316455564751,5054.466956364874
108,2024-06-06,5352.9599609375,4571.84421885045,4083.716248678717,5064.089942025843
109,2024-06-07,5346.990234375,4573.113575903776,4118.278894967822,5065.961878455647
110,2024-06-10,5360.7900390625,4572.654350478306,4097.519317855651,5079.0194847545745
111,2024-06-11,5375.31982421875,4571.731468402532,4125.398983958241,5097.39280185463
112,2024-06-12,5421.02978515625,4570.812430961852,4122.1590326134165,5109.4798448004785
113,2024-06-13,5433.740234375,4569.388174715075,4072.643681746485,5119.375139421872
114,2024-06-14,5431.60009765625,4568.784464160758,4067.0417205218832,5117.71180973579
115,2024-06-17,5473.22998046875,4563.85055347586,4081.2388373573153,5125.913917549646
116,2024-06-18,5487.02978515625,4561.906393557212,4049.1234603281846,5130.686712689395
117,2024-06-20,5473.169921875,4558.343990188788,4030.0439162892976,5154.015187252118
118,2024-06-21,5464.6201171875,4557.566160708914,4045.734830666726,5165.58161943508
119,2024-06-24,5447.8701171875,4553.892941400082,4055.8182634855084,5159.316778276613
120,2024-06-25,5469.2998046875,4552.946479367614,3987.7326578394,5141.535788291296
121,2024-06-26,5477.89990234375,4552.542074803419,4008.1949839323315,5146.246749673403
122,2024-06-27,5482.8701171875,4552.166017982882,3987.855441437665,5182.559369734238
123,2024-06-28,5460.47998046875,4553.130667542326,3998.5929893672896,5170.756027583415
124,2024-07-01,5475.08984375,4555.763245043785,4011.7035901969703,5238.036553059048
125,2024-07-02,5509.009765625,4557.169877857689,4003.4400906908254,5237.033585772682
126,2024-07-03,5537.02001953125,4559.184654914129,3990.7487445750394,5200.812896311587
127,2024-07-05,5567.18994140625,4564.658487461956,3944.8705641892248,5219.446863582649
128,2024-07-08,5572.85009765625,4574.167806932398,3953.1905464209526,5262.375701735463
129,2024-07-09,5576.97998046875,4577.601457334491,3943.1747167716703,5259.488500388856
130,2024-07-10,5633.91015625,4581.455731465308,4005.828790685277,5250.329409730474
131,2024-07-11,5584.5400390625,4585.150379652965,3952.585502129868,5277.419679055661
132,2024-07-12,5615.35009765625,4589.934130144594,3978.3126737585226,5268.049188816419
133,2024-07-15,5631.22021484375,4601.942765608847,3967.720663747549,5300.656857623229
134,2024-07-16,5667.2001953125,4605.618369798363,3962.884951610744,5337.091549439501
135,2024-07-17,5588.27001953125,4609.40931371455,3936.0696125581794,5322.651000364606
136,2024-07-18,5544.58984375,4612.736769643314,3958.428641839072,5315.859714703624
137,2024-07-19,5505.0,4616.855712943523,3951.4300533195824,5354.891521593792
138,2024-07-22,5564.41015625,4625.216111100733,3961.3783480060715,5321.850954800737
139,2024-07-23,5555.740234375,4627.189716006067,3931.4560635448015,5396.022386796316
140,2024-07-24,5427.1298828125,4629.077849445445,3953.6712365816506,5363.673372183439
141,2024-07-25,5399.22021484375,4630.331729188162,3932.4224107445334,5386.582367755334
142,2024-07-26,5459.10009765625,4632.23881603282,3930.9807075451668,5389.570056806427
143,2024-07-29,5463.5400390625,4633.48282763065,3925.3558039134573,5415.420894049952
144,2024-07-30,5436.43994140625,4633.043843025293,3930.9175020920306,5427.99837685549
145,2024-07-31,5522.2998046875,4632.558511634224,3899.8618549360526,5447.410598325305
146,2024-08-01,5446.68017578125,4631.511946147197,3885.878036671829,5449.089933496474
147,2024-08-02,5346.56005859375,4631.223461791772,3891.7828722699983,5489.953167564465
148,2024-08-05,5186.330078125,4626.7857552474,3894.352314086637,5421.999735675408
149,2024-08-06,5240.02978515625,4624.828623199673,3843.2723313408046,5457.689493548031
150,2024-08-07,5199.5,4623.03969333964,3859.8689707455887,5389.591538407537
151,2024-08-08,5319.31005859375,4620.913196226773,3814.5060441910205,5444.350297341464
152,2024-08-09,5344.16015625,4619.772702505239,3837.408154768458,5475.402152689654
153,2024-08-12,5344.39013671875,4614.115388729991,3791.3365080144713,5481.733677363526
154,2024-08-13,5434.43017578125,4612.162953055244,3805.985741083929,5484.804393424101
155,2024-08-14,5455.2099609375,4610.556080685884,3800.60883974136,5504.532010290474
156,2024-08-15,5543.22021484375,4608.76611196629,3770.1632511324556,5508.392993085948
157,2024-08-16,5554.25,4608.090425283616,3720.0737977434987,5540.788977354541
158,2024-08-19,5608.25,4604.298117672669,3779.8357619466947,5514.339132109532
159,2024-08-20,5597.1201171875,4603.016757326564,3740.2596184654176,5508.6325262865685
160,2024-08-21,5620.85009765625,4602.050543332319,3749.7727736271913,5518.199508627414
161,2024-08-22,5570.64013671875,4600.8384512729135,3723.5365314140304,5537.854181403525
162,2024-08-23,5634.60986328125,4600.646991845619,3733.8766430171086,5519.193015568648
163,2024-08-26,5616.83984375,4597.473708588121,3707.930273169776,5569.688617096543
164,2024-08-27,5625.7998046875,4596.0468739595335,3699.644861207378,5542.890204098372
165,2024-08-28,5592.18017578125,4594.732499870011,3704.565352444906,5597.554256357702
166,2024-08-29,5591.9599609375,4592.960487963049,3653.0694412455073,5627.780357460683
167,2024-08-30,5648.39990234375,4591.993343333732,3710.6629094593313,5593.386115837764
168,2024-09-03,5528.93017578125,4582.235241981484,3635.8187214303803,5562.508467368346
169,2024-09-04,5520.06982421875,4579.187694649452,3623.0054041392605,5602.187389044819
170,2024-09-05,5503.41015625,4575.549523896327,3628.320101156173,5650.656410545656
171,2024-09-06,5408.419921875,4572.612560682181,3601.4904004287714,5607.7888701117345
172,2024-09-09,5471.0498046875,4559.661338857238,3610.4445932130116,5614.775780068061
173,2024-09-10,5495.52001953125,4554.621873799878,3591.324596360173,5573.693853741893
174,2024-09-11,5554.1298828125,4549.612846278563,3573.6868839997774,5596.121292387671
175,2024-09-12,5595.759765625,4544.127200457699,3535.552317522249,5616.009552693733
176,2024-09-13,5626.02001953125,4539.492885747627,3542.0282229154227,5602.743242015245
177,2024-09-16,5633.08984375,4522.675356180202,3486.5592468350305,5621.180353747301
178,2024-09-17,5634.580078125,4516.84723172082,3480.5272647826687,5627.494161411644
