Date,Actual,Predicted
2024-10-15,5815.259765625,5713.198
2024-10-16,5842.47021484375,5721.389
2024-10-17,5841.47021484375,5729.868
2024-10-18,5864.669921875,5738.4136
2024-10-21,5853.97998046875,5747.1895
2024-10-22,5851.2001953125,5755.844
2024-10-23,5797.419921875,5764.202
2024-10-24,5809.85986328125,5771.3765
2024-10-25,5808.1201171875,5777.581
2024-10-28,5823.52001953125,5782.849
2024-10-29,5832.919921875,5787.491
2024-10-30,5813.669921875,5791.7144
2024-10-31,5705.4501953125,5795.2734
2024-11-01,5728.7998046875,5796.677
2024-11-04,5712.68994140625,5796.558
2024-11-05,5782.759765625,5794.947
2024-11-06,5929.0400390625,5793.192
2024-11-07,5973.10009765625,5793.5635
2024-11-08,5995.5400390625,5796.5005
2024-11-11,6001.35009765625,5801.9595
2024-11-12,5983.990234375,5809.533
2024-11-13,5985.3798828125,5818.4414
2024-11-14,5949.169921874999,5828.2383
2024-11-15,5870.6201171875,5837.989
2024-11-18,5893.6201171875,5846.3057
2024-11-19,5916.97998046875,5853.4897
2024-11-20,5917.10986328125,5859.895
2024-11-21,5948.709960937499,5865.5615
2024-11-22,5969.339843749999,5871.004
2024-11-25,5987.3701171875,5876.51
2024-11-26,6021.629882812501,5882.286
2024-11-27,5998.740234375,5888.7256
2024-11-29,6032.379882812499,5895.314
2024-12-02,6047.149902343751,5902.3945
2024-12-03,6049.8798828125,5909.976
2024-12-04,6086.490234375,5917.8823
2024-12-05,6075.109863281249,5926.4346
2024-12-06,6090.27001953125,5935.216
2024-12-09,6052.85009765625,5944.238
2024-12-10,6034.91015625,5952.7603
2024-12-11,6084.18994140625,5960.4326
2024-12-12,6051.25,5967.927
2024-12-13,6051.08984375,5974.6934
2024-12-16,6074.080078125001,5980.7456
2024-12-17,6050.60986328125,5986.4316
2024-12-18,5872.16015625,5991.4155
2024-12-19,5867.080078125,5993.22
2024-12-20,5930.85009765625,5992.2056
2024-12-23,5974.06982421875,5989.731
2024-12-24,6040.040039062499,5986.7847
2024-12-26,6037.58984375,5984.566
