Model,Stock,RMSE,MAE,MAPE
ARIMA,S&P 500,273.5833136876919,229.9264557025988,4.11173740505957
ARIMA,Tesla,73.2801648882834,59.35049430613335,24.230689792375102
LSTM,S&P 500,160.55379238966367,118.23547996864188,2.131727221940864
LSTM,Tesla,31.814388341051387,24.02925986319677,8.78696464081911
Prophet,S&P 500,960.0842880189656,899.5689321839682,15.967535235284972
Prophet,Tesla,115.99482455023839,82.23355214110063,26.76732315356074
